"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ada","ada","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.0-5",NA,"R(>= 2.10),rpart",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"adaptDA","adaptDA","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0",NA,"MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"adaptTest","adaptTest","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0",NA,"lattice",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"adegenet","adegenet","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.1.1",NA,"R (>= 2.14), methods, ade4","utils, stats, grDevices, MASS, igraph, ape, shiny, ggplot2,
seqinr, parallel, spdep, boot, reshape2, dplyr (>= 0.4.1),
vegan",NA,"pegas, hierfstat, akima, maps, splancs, tripack, testthat,
poppr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"AER","AER","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.2-8",NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"afex","afex","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.25-1",NA,"R (>= 3.1.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods, utils",NA,"emmeans (>= 1.4), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psych, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"AGSDest","AGSDest","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.3.2",NA,NA,"stats, graphics, grDevices, ldbounds",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"AIM","AIM","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.01",NA,"survival","survival",NA,NA,NA,"LGPL-2",NA,NA,NA,NA,NA,"3.6.1"
"ald","ald","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.2",NA,NA,NA,NA,"lqr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"Amelia","Amelia","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.7.5",NA,"R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils, grDevices, graphics, methods, stats","Rcpp (>= 0.11), RcppArmadillo","tcltk, Zelig",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"anytime","anytime","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.3.6",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"arrayhelpers","arrayhelpers","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0-20160527",NA,NA,"methods, utils, svUnit",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"arules","arules","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.6-4",NA,"R (>= 3.4.0), Matrix (>= 1.2-0)","stats, methods, graphics, utils",NA,"pmml, XML, arulesViz, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"arulesViz","arulesViz","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.3-3",NA,"arules (>= 1.4.1), grid","scatterplot3d, vcd, seriation, igraph (>= 1.0.0), graphics,
methods, utils, grDevices, stats, colorspace, DT, plotly,
visNetwork",NA,"graph, Rgraphviz, iplots, shiny, shinythemes, htmlwidgets",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"ash","ash","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"attempt","attempt","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.3.0",NA,NA,"rlang",NA,"testthat, knitr, rmarkdown, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"AUCRF","AUCRF","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1",NA,"R (>= 2.11.0), randomForest",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"aVirtualTwins","aVirtualTwins","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0.1",NA,"R (>= 3.2.0),","rpart, party, methods, randomForest, stats",NA,"caret, knitr, rpart.plot, rmarkdown, e1071",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"BART","BART","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.6",NA,"R (>= 2.10), nlme, nnet, survival","Rcpp (>= 0.12.3), parallel, tools","Rcpp","MASS, knitr, rmarkdown, sbart",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"base64url","base64url","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.4",NA,NA,"backports (>= 1.1.0)",NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
