"","package","version","pkg_ref","pkg_score","news_current","has_vignettes","has_bug_reports_url","bugs_status","license","export_help","downloads_1yr","has_website","has_maintainer","has_news","has_source_control","covr_coverage"
"1","ada","2.0-5",<pkg_ref>,1,0,0,0,0,0,0,0.359469811812231,0,1,0,0,0
"2","adaptDA",NA,<pkg_ref>,1,0,0,0,0,0,0,0.00735878024246917,0,0,0,0,0
"3","adaptTest","1.0",<pkg_ref>,1,0,0,0,0,0,0,0.0543437145378893,0,1,0,0,0
"4","adegenet","2.1.3",<pkg_ref>,1,0,0,0,0,0,0,0.402813940711368,1,1,0,1,0
"5","AER","1.2-9",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.702046345697748,0,1,1,0,0
"6","afex","0.27-2",<pkg_ref>,0.691666666666667,0,0,1,0.7,0,0,0.39812697113417,1,1,1,1,0
"7","AGSDest","2.3.2",<pkg_ref>,1,0,0,0,0,0,0,0.0577415950550279,0,1,0,0,0
"8","AIM","1.01",<pkg_ref>,1,0,0,0,0,0,0,0.0542840930584453,0,1,0,0,0
"9","ald","1.2",<pkg_ref>,1,0,0,0,0,0,0,0.0693634445961038,0,1,0,0,0
"10","Amelia","1.7.6",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.488442204200231,1,1,1,0,0
"11","anytime","0.3.7",<pkg_ref>,0.583333333333333,1,0,1,1,0,0,0.681467796394216,1,1,1,0,0
"12","arrayhelpers","1.1-0",<pkg_ref>,1,0,0,0,0,0,0,0.153221709137302,1,1,0,0,0
"13","arules","1.6-6",<pkg_ref>,0.588888888888889,1,0,1,0.933333333333333,0,0,0.785198455147289,1,1,1,1,0
"14","arulesViz","1.3-3",<pkg_ref>,0.602941176470588,1,0,1,0.764705882352941,0,0,0.564094144040731,1,1,1,1,0
"15","ash","1.0-15",<pkg_ref>,1,0,0,0,0,0,0,0.325120803376196,0,1,0,0,0
"16","attempt","0.3.1",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.192641193599259,1,1,1,1,0
"17","AUCRF","1.1",<pkg_ref>,1,0,0,0,0,0,0,0.0523842013494049,0,1,0,0,0
"18","aVirtualTwins","1.0.1",<pkg_ref>,0.770833333333333,0,0,1,0.75,0,0,0.0365160420079006,1,1,0,1,0
"19","BART","2.7",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.0868413843484613,0,1,1,0,0
"20","base64url","1.4",<pkg_ref>,0.583333333333333,1,0,1,1,0,0,0.229132620024051,1,1,1,1,0
"21","batchtools","0.9.13",<pkg_ref>,0.627777777777778,1,0,1,0.466666666666667,0,0,0.23662179699229,1,1,1,1,0
"22","BayesFactor","0.9.12-4.2",<pkg_ref>,0.605555555555556,1,0,1,0.733333333333333,0,0,0.425496466803271,1,1,1,0,0
"23","BayesMallows","0.4.3",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.0429828311119902,1,1,1,1,0
"24","bayesmeta","2.5",<pkg_ref>,1,0,0,0,0,0,0,0.0766844353617551,1,1,0,0,0
"25","bayesplot","1.7.2",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.614117138601406,1,1,1,0,0
"26","bayesSurv","3.3",<pkg_ref>,1,0,0,0,0,0,0,0.0726200338802814,1,1,0,0,0
