"","package","version","pkg_ref","pkg_score","news_current","has_vignettes","has_bug_reports_url","bugs_status","license","export_help","downloads_1yr","has_website","has_maintainer","has_news","has_source_control","covr_coverage","risk"
"1","askpass","1.1",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.970918521063327,1,1,0,1,0,0.666666666666667
"2","assertthat","0.2.1",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.978625831936056,0,1,0,0,0,0.833333333333333
"3","backports","1.1.8",<pkg_ref>,0.5,1,0,1,0,NA,1,0.982630875772087,1,1,1,1,0,0.5
"4","base64enc","0.1.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.970278784996731,1,1,0,0,0,0.833333333333333
"5","benchmarkme","1.0.4",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.145537713117135,1,1,1,1,0,0.333333333333333
"6","benchmarkmeData","1.0.4",<pkg_ref>,0.5,1,0,1,0,NA,1,0.144738717678251,1,1,1,1,0,0.5
"7","BH","1.72.0.3",<pkg_ref>,0.75,0,0,1,0,NA,NaN,0.978514091890932,1,1,1,1,0,0.75
"8","BiocManager","1.30.10",<pkg_ref>,0.5,0,1,1,0,NA,1,0.880850157952974,0,1,0,0,0,0.5
"9","bit","1.1.15.2",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.910985673440855,0,1,0,0,0,0.833333333333333
"10","bit64","0.9.7",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.894413488043383,1,1,0,0,0,0.833333333333333
"11","bitops","1.0.6",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.953300022758456,0,1,0,0,0,0.833333333333333
"12","blob","1.2.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.919448209494801,1,1,1,1,0,0.5
"13","brew","1.0.6",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.934631294352667,0,1,0,0,0,0.833333333333333
"14","broom","0.5.6",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.974379383260514,1,1,1,1,0,0.333333333333333
"15","callr","3.4.3",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.979447648708251,1,1,1,1,0,0.333333333333333
"16","cellranger","1.1.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.96067632526027,1,1,1,1,0,0.333333333333333
"17","chron","2.3.55",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.809698041539112,0,1,0,0,0,0.833333333333333
"18","cli","2.0.2",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.981919613880095,1,1,1,1,0,0.333333333333333
"19","clipr","0.7.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.970052169121391,1,1,1,1,0,0.333333333333333
"20","clisymbols","1.2.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.906342545272453,1,1,1,1,0,0.5
"21","colorspace","1.4.1",<pkg_ref>,0.367697594501718,1,1,1,0,NA,0.793814432989691,0.977254537795528,1,1,1,0,0,0.367697594501718
"22","commonmark","1.7",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.93815692803198,1,1,0,1,0,0.666666666666667
"23","covr","3.5.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.961415634642072,1,1,1,1,0,0.333333333333333
"24","cranlogs","2.1.1",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.0913386399156763,1,1,0,1,0,0.666666666666667
"25","crayon","1.3.4",<pkg_ref>,0.5,1,0,1,0,NA,1,0.978363336413913,1,1,1,1,0,0.5
"26","crosstalk","1.1.0.1",<pkg_ref>,0.583333333333333,0,0,1,0,NA,1,0.962067215377041,1,1,1,0,0,0.583333333333333
"27","curl","4.3",<pkg_ref>,0.5,0,1,1,0,NA,1,0.980830800762627,1,1,0,1,0,0.5
"28","data.table","1.12.8",<pkg_ref>,0.34593837535014,1,1,1,0,NA,0.92436974789916,0.977251605733323,1,1,1,1,0,0.34593837535014
"29","DBI","1.1.0",<pkg_ref>,0.417293233082707,1,1,1,0,NA,0.496240601503759,0.964086703317383,1,1,1,1,0,0.417293233082707
"30","dbplyr","1.4.4",<pkg_ref>,0.340336134453782,1,1,1,0,NA,0.957983193277311,0.963855517491399,1,1,1,1,0,0.340336134453782
"31","desc","1.2.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.969731237604942,1,1,1,1,0,0.5
"32","devtools","2.3.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.98363698186094,1,1,1,1,0,0.333333333333333
"33","digest","0.6.25",<pkg_ref>,0.5,0,1,1,0,NA,1,0.98565567068633,1,1,0,0,0,0.5
"34","doParallel","1.0.15",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0.923727391527639,0,1,0,0,0,0.666666666666667
"35","dplyr","1.0.0",<pkg_ref>,0.333922261484099,1,1,1,0,NA,0.996466431095406,0.988888719338977,1,1,1,1,0,0.333922261484099
"36","DT","0.14",<pkg_ref>,0.416666666666667,0,1,1,0,NA,1,0.959963956884918,1,1,1,1,0,0.416666666666667
"37","ellipsis","0.3.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.986870830503997,1,1,1,1,0,0.5
"38","evaluate","0.14",<pkg_ref>,0.5,1,0,1,0,NA,1,0.980073237494462,1,1,1,1,0,0.5
"39","fansi","0.4.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.982794923401278,1,1,1,1,0,0.333333333333333
"40","farver","2.0.3",<pkg_ref>,0.5,1,0,1,0,NA,1,0.97037014796358,1,1,1,1,0,0.5
"41","fastmap","1.0.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.957196520476614,1,1,1,1,0,0.5
"42","forcats","0.5.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.964649679502211,1,1,1,1,0,0.333333333333333
"43","foreach","1.5.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.934384321527323,1,1,1,1,0,0.333333333333333
"44","fs","1.4.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.982686119311799,1,1,1,1,0,0.333333333333333
"45","generics","0.0.2",<pkg_ref>,0.5,1,0,1,0,NA,1,0.959168440797914,1,1,1,1,0,0.5
"46","ggplot2","3.3.2",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.98914975921869,1,1,1,1,0,0.333333333333333
"47","gh","1.1.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.939550010276498,1,1,1,1,0,0.5
"48","git2r","0.27.1",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.93971737092183,1,1,0,1,0,0.666666666666667
"49","glue","1.4.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.985325075981865,1,1,1,1,0,0.333333333333333
"50","gsubfn","0.7",<pkg_ref>,0.5,0,1,1,0,NA,1,0.723757414811391,1,1,0,1,0,0.5
"51","gtable","0.3.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.972884561988061,1,1,1,1,0,0.333333333333333
"52","haven","2.3.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.975283551219814,1,1,1,1,0,0.333333333333333
"53","highr","0.8",<pkg_ref>,0.5,0,1,1,0,NA,1,0.978756336453744,1,1,0,1,0,0.5
"54","hms","0.5.3",<pkg_ref>,0.5,1,0,1,0,NA,1,0.980933062209952,1,1,1,1,0,0.5
"55","htmltools","0.5.0",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.980385244263861,1,1,0,1,0,0.666666666666667
"56","htmlwidgets","1.5.1",<pkg_ref>,0.5,0,1,1,0,NA,1,0.964934911012986,1,1,0,1,0,0.5
"57","httpuv","1.5.4",<pkg_ref>,0.666666666666667,1,0,0,0,NA,1,0.972167541750079,1,1,1,1,0,0.666666666666667
"58","httr","1.4.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.979438751948692,1,1,1,1,0,0.333333333333333
"59","ini","0.3.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.940502940543002,1,1,1,1,0,0.5
"60","ISLR","1.2",<pkg_ref>,1,0,0,0,0,NA,NaN,0.683928390816223,1,1,0,0,0,1
"61","isoband","0.2.2",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.956794372899126,1,1,1,1,0,0.333333333333333
"62","iterators","1.0.12",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0.925677118610895,0,1,0,0,0,0.666666666666667
"63","janitor","2.0.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.686026285879346,1,1,1,1,0,0.333333333333333
"64","jsonlite","1.7.0",<pkg_ref>,0.537878787878788,0,1,1,0,NA,0.772727272727273,0.986269855733713,1,1,0,0,0,0.537878787878788
"65","knitr","1.29",<pkg_ref>,0.416666666666667,0,1,1,0,NA,1,0.983491684761614,1,1,1,0,0,0.416666666666667
"66","labeling","0.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.971102870505991,0,1,0,0,0,0.833333333333333
"67","later","1.1.0.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.973812556564878,1,1,1,1,0,0.333333333333333
"68","lazyeval","0.2.2",<pkg_ref>,0.5,1,1,0,0,NA,1,0.974917054880982,0,1,1,0,0,0.5
"69","lifecycle","0.2.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.982453515560983,1,1,1,1,0,0.333333333333333
"70","lubridate","1.7.9",<pkg_ref>,0.372305140961857,1,1,1,0,NA,0.766169154228856,0.978893403668017,1,1,1,1,0,0.372305140961857
"71","magrittr","1.5",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0.996695401545503,0,1,0,0,0,0.666666666666667
"72","markdown","1.1",<pkg_ref>,0.5,0,1,1,0,NA,1,0.984118172653886,1,1,0,1,0,0.5
"73","memoise","1.1.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.940451142147094,1,1,1,1,0,0.5
"74","mime","0.9",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.979978520957283,1,1,0,1,0,0.666666666666667
"75","modelr","0.1.8",<pkg_ref>,0.5,1,0,1,0,NA,1,0.972701632114819,1,1,1,1,0,0.5
"76","munsell","0.5.0",<pkg_ref>,0.666666666666667,1,0,0,0,NA,1,0.976540128813461,1,1,1,1,0,0.666666666666667
"77","openssl","1.4.1",<pkg_ref>,0.5,0,1,1,0,NA,1,0.975770572520372,1,1,0,1,0,0.5
"78","pillar","1.4.4",<pkg_ref>,0.5,1,0,1,0,NA,1,0.986742706964242,1,1,1,1,0,0.5
"79","pkgbuild","1.0.8",<pkg_ref>,0.5,1,0,1,0,NA,1,0.975640682528588,1,1,1,1,0,0.5
"80","pkgconfig","2.0.3",<pkg_ref>,0.583333333333333,0,0,1,0,NA,1,0.979013450279716,1,1,1,1,0,0.583333333333333
"81","pkgload","1.1.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.971495862909543,1,1,1,1,0,0.5
"82","plogr","0.2.0",<pkg_ref>,0.666666666666667,1,0,1,0,NA,NaN,0.96838987506625,1,1,1,1,0,0.666666666666667
"83","plyr","1.8.6",<pkg_ref>,0.5,1,0,1,0,NA,1,0.982440182481624,1,1,1,1,0,0.5
"84","praise","1.0.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.964256694125469,1,1,1,1,0,0.5
"85","prettyunits","1.1.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.975461487622774,1,1,1,1,0,0.5
"86","processx","3.4.2",<pkg_ref>,0.5,1,0,1,0,NA,1,0.978196064476854,1,1,1,1,0,0.5
"87","progress","1.2.2",<pkg_ref>,0.5,1,0,1,0,NA,1,0.966090000755063,1,1,1,1,0,0.5
"88","promises","1.1.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.973288681506169,1,1,1,1,0,0.333333333333333
"89","proto","1.0.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.695972856456624,1,1,1,1,0,0.333333333333333
"90","ps","1.3.3",<pkg_ref>,0.5,1,0,1,0,NA,1,0.977101470558826,1,1,1,1,0,0.5
"91","purrr","0.3.4",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.984046835088837,1,1,1,1,0,0.333333333333333
"92","R6","2.4.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.980059388458666,1,1,1,1,0,0.5
"93","rcmdcheck","1.3.3",<pkg_ref>,0.5,1,0,1,0,NA,1,0.944215874153987,1,1,1,1,0,0.5
"94","RColorBrewer","1.1.2",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0.974435070447572,0,1,0,0,0,0.833333333333333
"95","Rcpp","1.0.4.6",<pkg_ref>,0.420454545454546,1,1,1,0,NA,0.477272727272727,0.987970307832605,1,1,1,1,0,0.420454545454546
"96","RCurl","1.98.1.2",<pkg_ref>,0.699029126213592,0,1,0,0,NA,0.805825242718447,0.929485100201673,0,1,0,0,0,0.699029126213592
"97","readr","1.3.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.971980810964992,1,1,1,1,0,0.333333333333333
"98","readxl","1.3.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.970833315509248,1,1,1,1,0,0.333333333333333
"99","rematch","1.0.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.960248915987939,1,1,1,1,0,0.5
"100","rematch2","2.1.2",<pkg_ref>,0.5,1,0,1,0,NA,1,0.88180721496037,1,1,1,1,0,0.5
"101","remotes","2.1.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.967494128897914,1,1,1,1,0,0.333333333333333
"102","reprex","0.3.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.96504459610429,1,1,1,1,0,0.333333333333333
"103","reshape2","1.4.4",<pkg_ref>,0.5,1,0,1,0,NA,1,0.977646371559031,1,1,1,1,0,0.5
"104","rex","1.2.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.949643070080732,1,1,1,1,0,0.333333333333333
"105","riskmetric","0.1.0.9001",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0,1,1,0,1,0,0.666666666666667
"106","rlang","0.4.6",<pkg_ref>,0.5,1,0,1,0,NA,1,0.991450968425748,1,1,1,1,0,0.5
"107","rmarkdown","2.3",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.980090844150863,1,1,1,1,0,0.333333333333333
"108","RMySQL","0.10.20",<pkg_ref>,0.623809523809524,1,0,1,0,NA,0.257142857142857,0.792028594681755,1,1,1,0,0,0.623809523809524
"109","roxygen2","7.1.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.957272541084588,1,1,1,1,0,0.333333333333333
"110","rprojroot","1.3.2",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.970703788742286,1,1,1,1,0,0.333333333333333
"111","RSQLite","2.2.0",<pkg_ref>,0.476388888888889,1,1,1,0,NA,0.141666666666667,0.901255568363074,1,1,1,1,0,0.476388888888889
"112","rstudioapi","0.11",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.974778869535127,1,1,1,1,0,0.333333333333333
"113","rversions","2.0.2",<pkg_ref>,0.5,1,0,1,0,NA,1,0.942235152990197,1,1,1,1,0,0.5
"114","rvest","0.3.5",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.972073986807007,1,1,1,1,0,0.333333333333333
"115","scales","1.1.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.980826897561948,1,1,1,1,0,0.5
"116","selectr","0.4.2",<pkg_ref>,0.5,1,0,1,0,NA,1,0.96791029944611,1,1,1,0,0,0.5
"117","sessioninfo","1.1.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.930164346571069,1,1,1,1,0,0.5
"118","shiny","1.5.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.972242531436721,1,1,1,0,0,0.5
"119","snakecase","0.11.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.670096199948095,1,1,1,1,0,0.333333333333333
"120","sourcetools","0.1.7",<pkg_ref>,0.5,1,0,1,0,NA,1,0.963296197241342,0,1,1,0,0,0.5
"121","sqldf","0.4.11",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.797410911448309,1,1,0,1,0,0.666666666666667
"122","stringi","1.4.6",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.982993046877285,1,1,0,0,0,0.666666666666667
"123","stringr","1.4.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.982543281025245,1,1,1,1,0,0.333333333333333
"124","swirl","2.4.5",<pkg_ref>,0.666666666666667,1,0,0,0,NA,1,0.726826709791623,1,1,1,0,0,0.666666666666667
"125","sys","3.3",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.972817346157505,1,1,0,1,0,0.666666666666667
"126","testthat","2.3.2",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.978302428276507,1,1,1,1,0,0.333333333333333
"127","tibble","3.0.1",<pkg_ref>,0.337209302325581,1,1,1,0,NA,0.976744186046512,0.986805652986035,1,1,1,1,0,0.337209302325581
"128","tidyr","1.1.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.984754568369815,1,1,1,1,0,0.333333333333333
